,rel-pbesol & US_LOW,rel-pbesol & PAW_LOW,rel-pbesol & PAW_HIGH,rel-pbesol & US_HIGH,rel-pbesol & NC,rel-bp & US_LOW,rel-bp & PAW_LOW,rel-bp & PAW_HIGH,rel-bp & US_HIGH,rel-bp & NC,rel-pz & US_LOW,rel-pz & PAW_LOW,rel-pz & PAW_HIGH,rel-pz & US_HIGH,rel-pz & NC,revpbe & US_LOW,revpbe & PAW_LOW,revpbe & PAW_HIGH,revpbe & US_HIGH,revpbe & NC,rel-revpbe & US_LOW,rel-revpbe & PAW_LOW,rel-revpbe & PAW_HIGH,rel-revpbe & US_HIGH,rel-revpbe & NC,pbe & US_LOW,pbe & PAW_LOW,pbe & PAW_HIGH,pbe & US_HIGH,pbe & NC,bp & US_LOW,bp & PAW_LOW,bp & PAW_HIGH,bp & US_HIGH,bp & NC,wc & US_LOW,wc & PAW_LOW,wc & PAW_HIGH,wc & US_HIGH,wc & NC,rel-pw91 & US_LOW,rel-pw91 & PAW_LOW,rel-pw91 & PAW_HIGH,rel-pw91 & US_HIGH,rel-pw91 & NC,rel-pbe & US_LOW,rel-pbe & PAW_LOW,rel-pbe & PAW_HIGH,rel-pbe & US_HIGH,rel-pbe & NC,pz & US_LOW,pz & PAW_LOW,pz & PAW_HIGH,pz & US_HIGH,pz & NC,rel-wc & US_LOW,rel-wc & PAW_LOW,rel-wc & PAW_HIGH,rel-wc & US_HIGH,rel-wc & NC,pbesol & US_LOW,pbesol & PAW_LOW,pbesol & PAW_HIGH,pbesol & US_HIGH,pbesol & NC,pw91 & US_LOW,pw91 & PAW_LOW,pw91 & PAW_HIGH,pw91 & US_HIGH,pw91 & NC
Rn,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Fr,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ra,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ac,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Th,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Pa,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,无,有,有,无,无,有,有,有
U,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Np,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Pu,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Am,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无
Cm,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Bk,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Cf,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Es,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Fm,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Md,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
No,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Lr,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Rf,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Db,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Sg,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Bh,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Hs,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Mt,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Ds,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Rg,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Cn,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Nh,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Fl,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Mc,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Lv,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Ts,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
Og,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
